"subject","version","assignmentId","word","word_ind","value","exposures","stamp","id"
"A05977571SZ38O16ESGP8","cs_wg_v7_pilot2","35GMH2SV3EIRR6GQW2K7U2OIKJLOEC","WEDDING","0","3","0","2017-09-27 20:14:27","29409"
"A05977571SZ38O16ESGP8","cs_wg_v7_pilot2","35GMH2SV3EIRR6GQW2K7U2OIKJLOEC","HELICOPTER","8","3","0","2017-09-27 20:14:27","29410"
"A05977571SZ38O16ESGP8","cs_wg_v7_pilot2","35GMH2SV3EIRR6GQW2K7U2OIKJLOEC","BOOKSHELF","4","5","0","2017-09-27 20:14:27","29411"
"A05977571SZ38O16ESGP8","cs_wg_v7_pilot2","35GMH2SV3EIRR6GQW2K7U2OIKJLOEC","FOOTBALL","6","4","0","2017-09-27 20:14:27","29412"
"A05977571SZ38O16ESGP8","cs_wg_v7_pilot2","35GMH2SV3EIRR6GQW2K7U2OIKJLOEC","DOORWAY","7","0","0","2017-09-27 20:14:27","29413"
"A05977571SZ38O16ESGP8","cs_wg_v7_pilot2","35GMH2SV3EIRR6GQW2K7U2OIKJLOEC","COMMUNITY","3","1","0","2017-09-27 20:14:27","29414"
"A05977571SZ38O16ESGP8","cs_wg_v7_pilot2","35GMH2SV3EIRR6GQW2K7U2OIKJLOEC","UMBRELLA","5","4","0","2017-09-27 20:14:27","29415"
"A05977571SZ38O16ESGP8","cs_wg_v7_pilot2","35GMH2SV3EIRR6GQW2K7U2OIKJLOEC","LADDER","2","2","0","2017-09-27 20:14:27","29416"
"A05977571SZ38O16ESGP8","cs_wg_v7_pilot2","35GMH2SV3EIRR6GQW2K7U2OIKJLOEC","STOMACH","1","1","0","2017-09-27 20:14:27","29417"
"A05977571SZ38O16ESGP8","cs_wg_v7_pilot2","35GMH2SV3EIRR6GQW2K7U2OIKJLOEC","TRAFFIC","9","2","0","2017-09-27 20:14:27","29418"
"A05977571SZ38O16ESGP8","cs_wg_v7_pilot2","35GMH2SV3EIRR6GQW2K7U2OIKJLOEC","KEYBOARD","12","2","0","2017-09-27 20:14:27","29419"
