"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","stamp","id"
"A1G187YBG0DVMQ","cs_wg_v7_pilot4","3KWTYT08704JP2K089BCYREBEZNL5R",,"Most letters in the set: U, A, D, W, Y, R, M, .","2","[3,2,4,4,0,4,1,5,1,2,4,2,4,1]","0","3","0","28768","Community",,"180","2017-10-03 15:31:46","9450"
"A2I6ZS386UJVJE","cs_wg_v7_pilot4","31JLPPHS2UVOH80T7I3BBBKLV81O3L",,"Most letters before word's second letter in alphabet","4","[4,19,0,14,14,12,14,14,4,17,19,0,4,0]","0","4","1","37967","STRUCTURE",,"180","2017-10-03 15:32:35","9451"
"A1G187YBG0DVMQ","cs_wg_v7_pilot4","3KWTYT08704JP2K089BCYREBEZNL5R",,"Most letters come after the word's third letter in the alphabet.","3","[23,12,23,14,12,25,12,12,15,26,9,24,2,8]","1","4","0","24113","stomach",,"15","2017-10-03 15:32:40","9452"
"A1T6EY2JB6S5ZZ","cs_wg_v7_pilot4","3IXQG4FA2TZQDG00KMZZW4N8O1SB9L",,"Most letters before word's second letter in alphabet","4","[4,19,0,14,14,12,14,14,4,17,19,0,4,0]","0","5","0","32652","Stomach",,"180","2017-10-03 15:33:09","9453"
"A2KVYRNL2CK95F","cs_wg_v7_pilot4","3RU7GD8VPOUAMPX9CXHR8JXNXTWSPY",,"Most letters in the set: S, G, E, F, B, N, L.","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","6","1","43231","FOOTBALL",,"180","2017-10-03 15:33:14","9454"
"A2I6ZS386UJVJE","cs_wg_v7_pilot4","31JLPPHS2UVOH80T7I3BBBKLV81O3L",,"Most letters in the set: S, G, E, F, B, N, L.","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","1","6","1","34950","basket",,"20","2017-10-03 15:33:44","9455"
"A2HG1N3BVQO6I","cs_wg_v7_pilot4","32AT8R96GLANEU55TJGLIPKM5AOSUU",,"Most letters before word's second letter in alphabet","4","[4,19,0,14,14,12,14,14,4,17,19,0,4,0]","0","4","1","42616","structure",,"180","2017-10-03 15:33:46","9456"
"AB5976B6VKZYC","cs_wg_v7_pilot4","3EQHHY4HQST33A6ZXIEWLZ93II1G5G",,"Most letters in alphabet between word's 4th and 5th letters","5","[5,12,1,8,8,13,18,5,6,0,18,1,13,6]","0","4","0","72083","bookshelf",,"180","2017-10-03 15:34:08","9457"
"A1T6EY2JB6S5ZZ","cs_wg_v7_pilot4","3IXQG4FA2TZQDG00KMZZW4N8O1SB9L",,"Most letters in the set: S, G, E, F, B, N, L.","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","1","6","1","31887","Bookshelf",,"20","2017-10-03 15:34:13","9458"
"A2HHQU4D5Z8MQ8","cs_wg_v7_pilot4","32N49TQG3GJJRD8BH94ZTBSZXBQVAQ",,"Most letters before word's second letter in alphabet","4","[4,19,0,14,14,12,14,14,4,17,19,0,4,0]","0","4","1","49321","Structure",,"180","2017-10-03 15:34:53","9459"
