"subject","version","assignmentId","word","word_ind","s1_value","s2_value","exposures","stamp","id"
"A243H1RTE5GP","cs_wg_v7_pilot9","39KFRKBFINWPXBXHW3W115GZIOWOY1","RABIES","4","25","9","0","2018-05-25 15:54:13","57281"
"A243H1RTE5GP","cs_wg_v7_pilot9","39KFRKBFINWPXBXHW3W115GZIOWOY1","FILMMAKER","5","15","11","0","2018-05-25 15:54:13","57282"
"A243H1RTE5GP","cs_wg_v7_pilot9","39KFRKBFINWPXBXHW3W115GZIOWOY1","DOGSLED","1","20","12","0","2018-05-25 15:54:13","57283"
"A243H1RTE5GP","cs_wg_v7_pilot9","39KFRKBFINWPXBXHW3W115GZIOWOY1","MAILMAN","0","18","13","0","2018-05-25 15:54:13","57284"
"A243H1RTE5GP","cs_wg_v7_pilot9","39KFRKBFINWPXBXHW3W115GZIOWOY1","WEAPON","2","26","16","0","2018-05-25 15:54:13","57285"
"A243H1RTE5GP","cs_wg_v7_pilot9","39KFRKBFINWPXBXHW3W115GZIOWOY1","LIPSTICK","3","11","9","0","2018-05-25 15:54:13","57286"
"A243H1RTE5GP","cs_wg_v7_pilot9","39KFRKBFINWPXBXHW3W115GZIOWOY1","INFERNO","6","21","18","0","2018-05-25 15:54:13","57287"
"A243H1RTE5GP","cs_wg_v7_pilot9","39KFRKBFINWPXBXHW3W115GZIOWOY1","SMOKER","8","12","11","0","2018-05-25 15:54:13","57288"
"A243H1RTE5GP","cs_wg_v7_pilot9","39KFRKBFINWPXBXHW3W115GZIOWOY1","STEREOTYPE","7","22","25","0","2018-05-25 15:54:13","57289"
"A243H1RTE5GP","cs_wg_v7_pilot9","39KFRKBFINWPXBXHW3W115GZIOWOY1","UNHAPPY","9","19","16","0","2018-05-25 15:54:13","57290"
"A243H1RTE5GP","cs_wg_v7_pilot9","39KFRKBFINWPXBXHW3W115GZIOWOY1","POPCORN","10","11","15","0","2018-05-25 15:54:13","57291"
"A243H1RTE5GP","cs_wg_v7_pilot9","39KFRKBFINWPXBXHW3W115GZIOWOY1","GOLDEN","11","15","4","0","2018-05-25 15:54:13","57292"
"ADZ16EQ74XHJ7","cs_wg_v7_pilot9","3IX2EGZR7BK2ZZUY2VC2LD6GG77JRB","MAILMAN","0","9","14","0","2018-05-25 15:54:18","57293"
"ADZ16EQ74XHJ7","cs_wg_v7_pilot9","3IX2EGZR7BK2ZZUY2VC2LD6GG77JRB","DOGSLED","1","7","15","0","2018-05-25 15:54:18","57294"
"ADZ16EQ74XHJ7","cs_wg_v7_pilot9","3IX2EGZR7BK2ZZUY2VC2LD6GG77JRB","WEAPON","2","1","11","0","2018-05-25 15:54:18","57295"
"ADZ16EQ74XHJ7","cs_wg_v7_pilot9","3IX2EGZR7BK2ZZUY2VC2LD6GG77JRB","FILMMAKER","5","12","16","0","2018-05-25 15:54:18","57296"
"ADZ16EQ74XHJ7","cs_wg_v7_pilot9","3IX2EGZR7BK2ZZUY2VC2LD6GG77JRB","LIPSTICK","3","16","18","0","2018-05-25 15:54:18","57297"
"ADZ16EQ74XHJ7","cs_wg_v7_pilot9","3IX2EGZR7BK2ZZUY2VC2LD6GG77JRB","RABIES","4","2","18","0","2018-05-25 15:54:18","57298"
"ADZ16EQ74XHJ7","cs_wg_v7_pilot9","3IX2EGZR7BK2ZZUY2VC2LD6GG77JRB","STEREOTYPE","7","5","2","0","2018-05-25 15:54:18","57299"
"ADZ16EQ74XHJ7","cs_wg_v7_pilot9","3IX2EGZR7BK2ZZUY2VC2LD6GG77JRB","INFERNO","6","6","9","0","2018-05-25 15:54:18","57300"
"ADZ16EQ74XHJ7","cs_wg_v7_pilot9","3IX2EGZR7BK2ZZUY2VC2LD6GG77JRB","SMOKER","8","15","16","0","2018-05-25 15:54:18","57301"
"ADZ16EQ74XHJ7","cs_wg_v7_pilot9","3IX2EGZR7BK2ZZUY2VC2LD6GG77JRB","UNHAPPY","9","8","11","0","2018-05-25 15:54:18","57302"
"ADZ16EQ74XHJ7","cs_wg_v7_pilot9","3IX2EGZR7BK2ZZUY2VC2LD6GG77JRB","POPCORN","10","16","12","0","2018-05-25 15:54:18","57303"
"ADZ16EQ74XHJ7","cs_wg_v7_pilot9","3IX2EGZR7BK2ZZUY2VC2LD6GG77JRB","GOLDEN","11","12","23","0","2018-05-25 15:54:18","57304"
"AHGDYNKOKJWFJ","cs_wg_v7_pilot9","3LJ7UR74RHERHJJL6H8H6RCNXDSN40","MAILMAN","0","9","13","0","2018-05-25 15:54:20","57305"
"AHGDYNKOKJWFJ","cs_wg_v7_pilot9","3LJ7UR74RHERHJJL6H8H6RCNXDSN40","LIPSTICK","3","16","9","0","2018-05-25 15:54:20","57306"
"AHGDYNKOKJWFJ","cs_wg_v7_pilot9","3LJ7UR74RHERHJJL6H8H6RCNXDSN40","DOGSLED","1","7","12","0","2018-05-25 15:54:20","57307"
"AHGDYNKOKJWFJ","cs_wg_v7_pilot9","3LJ7UR74RHERHJJL6H8H6RCNXDSN40","FILMMAKER","5","12","11","0","2018-05-25 15:54:20","57308"
"AHGDYNKOKJWFJ","cs_wg_v7_pilot9","3LJ7UR74RHERHJJL6H8H6RCNXDSN40","WEAPON","2","1","16","0","2018-05-25 15:54:20","57309"
"AHGDYNKOKJWFJ","cs_wg_v7_pilot9","3LJ7UR74RHERHJJL6H8H6RCNXDSN40","RABIES","4","2","9","0","2018-05-25 15:54:20","57310"
"AHGDYNKOKJWFJ","cs_wg_v7_pilot9","3LJ7UR74RHERHJJL6H8H6RCNXDSN40","INFERNO","6","6","18","0","2018-05-25 15:54:20","57311"
"AHGDYNKOKJWFJ","cs_wg_v7_pilot9","3LJ7UR74RHERHJJL6H8H6RCNXDSN40","STEREOTYPE","7","5","25","0","2018-05-25 15:54:20","57312"
"AHGDYNKOKJWFJ","cs_wg_v7_pilot9","3LJ7UR74RHERHJJL6H8H6RCNXDSN40","POPCORN","10","16","15","0","2018-05-25 15:54:20","57313"
"AHGDYNKOKJWFJ","cs_wg_v7_pilot9","3LJ7UR74RHERHJJL6H8H6RCNXDSN40","SMOKER","8","15","11","0","2018-05-25 15:54:20","57314"
"AHGDYNKOKJWFJ","cs_wg_v7_pilot9","3LJ7UR74RHERHJJL6H8H6RCNXDSN40","GOLDEN","11","12","4","0","2018-05-25 15:54:20","57315"
"AHGDYNKOKJWFJ","cs_wg_v7_pilot9","3LJ7UR74RHERHJJL6H8H6RCNXDSN40","UNHAPPY","9","8","16","0","2018-05-25 15:54:20","57316"
"A2D4RUOUUAE91I","cs_wg_v7_pilot9","36PW28KO4ZX2P2MPMJFPT74EBVNEAD","DOGSLED","1","20","15","0","2018-05-25 15:54:20","57318"
"A2D4RUOUUAE91I","cs_wg_v7_pilot9","36PW28KO4ZX2P2MPMJFPT74EBVNEAD","LIPSTICK","3","11","18","0","2018-05-25 15:54:20","57317"
"A2D4RUOUUAE91I","cs_wg_v7_pilot9","36PW28KO4ZX2P2MPMJFPT74EBVNEAD","MAILMAN","0","18","14","0","2018-05-25 15:54:20","57319"
"A2D4RUOUUAE91I","cs_wg_v7_pilot9","36PW28KO4ZX2P2MPMJFPT74EBVNEAD","RABIES","4","25","18","0","2018-05-25 15:54:20","57320"
"A2D4RUOUUAE91I","cs_wg_v7_pilot9","36PW28KO4ZX2P2MPMJFPT74EBVNEAD","WEAPON","2","26","11","0","2018-05-25 15:54:20","57321"
"A2D4RUOUUAE91I","cs_wg_v7_pilot9","36PW28KO4ZX2P2MPMJFPT74EBVNEAD","FILMMAKER","5","15","16","0","2018-05-25 15:54:20","57322"
"A2D4RUOUUAE91I","cs_wg_v7_pilot9","36PW28KO4ZX2P2MPMJFPT74EBVNEAD","INFERNO","6","21","9","0","2018-05-25 15:54:20","57323"
"A2D4RUOUUAE91I","cs_wg_v7_pilot9","36PW28KO4ZX2P2MPMJFPT74EBVNEAD","POPCORN","10","11","12","0","2018-05-25 15:54:20","57324"
"A2D4RUOUUAE91I","cs_wg_v7_pilot9","36PW28KO4ZX2P2MPMJFPT74EBVNEAD","STEREOTYPE","7","22","2","0","2018-05-25 15:54:20","57325"
"A2D4RUOUUAE91I","cs_wg_v7_pilot9","36PW28KO4ZX2P2MPMJFPT74EBVNEAD","SMOKER","8","12","16","0","2018-05-25 15:54:20","57326"
"A2D4RUOUUAE91I","cs_wg_v7_pilot9","36PW28KO4ZX2P2MPMJFPT74EBVNEAD","UNHAPPY","9","19","11","0","2018-05-25 15:54:20","57327"
"A2D4RUOUUAE91I","cs_wg_v7_pilot9","36PW28KO4ZX2P2MPMJFPT74EBVNEAD","GOLDEN","11","15","23","0","2018-05-25 15:54:20","57328"
"A1187B8YT74YAJ","cs_wg_v7_pilot9","3PMBY0YE2749NLS6YMVU7OTRK1SC93","LIPSTICK","3","11","18","0","2018-05-25 15:54:23","57329"
"A1187B8YT74YAJ","cs_wg_v7_pilot9","3PMBY0YE2749NLS6YMVU7OTRK1SC93","RABIES","4","25","18","0","2018-05-25 15:54:23","57330"
"A1187B8YT74YAJ","cs_wg_v7_pilot9","3PMBY0YE2749NLS6YMVU7OTRK1SC93","DOGSLED","1","20","15","0","2018-05-25 15:54:23","57331"
"A1187B8YT74YAJ","cs_wg_v7_pilot9","3PMBY0YE2749NLS6YMVU7OTRK1SC93","WEAPON","2","26","11","0","2018-05-25 15:54:23","57332"
"A1187B8YT74YAJ","cs_wg_v7_pilot9","3PMBY0YE2749NLS6YMVU7OTRK1SC93","MAILMAN","0","18","14","0","2018-05-25 15:54:23","57333"
"A1187B8YT74YAJ","cs_wg_v7_pilot9","3PMBY0YE2749NLS6YMVU7OTRK1SC93","FILMMAKER","5","15","16","0","2018-05-25 15:54:23","57334"
"A1187B8YT74YAJ","cs_wg_v7_pilot9","3PMBY0YE2749NLS6YMVU7OTRK1SC93","INFERNO","6","21","9","0","2018-05-25 15:54:23","57335"
"A1187B8YT74YAJ","cs_wg_v7_pilot9","3PMBY0YE2749NLS6YMVU7OTRK1SC93","SMOKER","8","12","16","0","2018-05-25 15:54:23","57336"
"A1187B8YT74YAJ","cs_wg_v7_pilot9","3PMBY0YE2749NLS6YMVU7OTRK1SC93","STEREOTYPE","7","22","2","0","2018-05-25 15:54:23","57337"
"A1187B8YT74YAJ","cs_wg_v7_pilot9","3PMBY0YE2749NLS6YMVU7OTRK1SC93","POPCORN","10","11","12","0","2018-05-25 15:54:23","57338"
"A1187B8YT74YAJ","cs_wg_v7_pilot9","3PMBY0YE2749NLS6YMVU7OTRK1SC93","GOLDEN","11","15","23","0","2018-05-25 15:54:23","57339"
"A1187B8YT74YAJ","cs_wg_v7_pilot9","3PMBY0YE2749NLS6YMVU7OTRK1SC93","UNHAPPY","9","19","11","0","2018-05-25 15:54:23","57340"
"A10VQSMGPJFSMU","cs_wg_v7_pilot9","3LEIZ60CDJ0MVE3GQ0F2IMUCTJE9ZZ","MAILMAN","0","9","13","0","2018-05-25 15:54:34","57341"
"A10VQSMGPJFSMU","cs_wg_v7_pilot9","3LEIZ60CDJ0MVE3GQ0F2IMUCTJE9ZZ","RABIES","4","2","9","0","2018-05-25 15:54:34","57342"
"A10VQSMGPJFSMU","cs_wg_v7_pilot9","3LEIZ60CDJ0MVE3GQ0F2IMUCTJE9ZZ","DOGSLED","1","7","12","0","2018-05-25 15:54:34","57343"
"A10VQSMGPJFSMU","cs_wg_v7_pilot9","3LEIZ60CDJ0MVE3GQ0F2IMUCTJE9ZZ","LIPSTICK","3","16","9","0","2018-05-25 15:54:34","57344"
"A10VQSMGPJFSMU","cs_wg_v7_pilot9","3LEIZ60CDJ0MVE3GQ0F2IMUCTJE9ZZ","WEAPON","2","1","16","0","2018-05-25 15:54:34","57345"
"A10VQSMGPJFSMU","cs_wg_v7_pilot9","3LEIZ60CDJ0MVE3GQ0F2IMUCTJE9ZZ","FILMMAKER","5","12","11","0","2018-05-25 15:54:34","57346"
"A10VQSMGPJFSMU","cs_wg_v7_pilot9","3LEIZ60CDJ0MVE3GQ0F2IMUCTJE9ZZ","UNHAPPY","9","8","16","0","2018-05-25 15:54:34","57347"
"A10VQSMGPJFSMU","cs_wg_v7_pilot9","3LEIZ60CDJ0MVE3GQ0F2IMUCTJE9ZZ","GOLDEN","11","12","4","0","2018-05-25 15:54:34","57348"
"A10VQSMGPJFSMU","cs_wg_v7_pilot9","3LEIZ60CDJ0MVE3GQ0F2IMUCTJE9ZZ","INFERNO","6","6","18","0","2018-05-25 15:54:34","57349"
"A10VQSMGPJFSMU","cs_wg_v7_pilot9","3LEIZ60CDJ0MVE3GQ0F2IMUCTJE9ZZ","SMOKER","8","15","11","0","2018-05-25 15:54:34","57350"
"A10VQSMGPJFSMU","cs_wg_v7_pilot9","3LEIZ60CDJ0MVE3GQ0F2IMUCTJE9ZZ","POPCORN","10","16","15","0","2018-05-25 15:54:34","57351"
"A10VQSMGPJFSMU","cs_wg_v7_pilot9","3LEIZ60CDJ0MVE3GQ0F2IMUCTJE9ZZ","STEREOTYPE","7","5","25","0","2018-05-25 15:54:34","57352"
"A2DA5SD0IQEPBI","cs_wg_v7_pilot9","3AQF3RZ558JT8EAIRHIJVKNSRDCF66","FILMMAKER","5","15","11","0","2018-05-25 15:54:36","57353"
"A2DA5SD0IQEPBI","cs_wg_v7_pilot9","3AQF3RZ558JT8EAIRHIJVKNSRDCF66","MAILMAN","0","18","13","0","2018-05-25 15:54:36","57354"
"A2DA5SD0IQEPBI","cs_wg_v7_pilot9","3AQF3RZ558JT8EAIRHIJVKNSRDCF66","DOGSLED","1","20","12","0","2018-05-25 15:54:36","57355"
"A2DA5SD0IQEPBI","cs_wg_v7_pilot9","3AQF3RZ558JT8EAIRHIJVKNSRDCF66","RABIES","4","25","9","0","2018-05-25 15:54:36","57356"
"A2DA5SD0IQEPBI","cs_wg_v7_pilot9","3AQF3RZ558JT8EAIRHIJVKNSRDCF66","WEAPON","2","26","16","0","2018-05-25 15:54:36","57357"
"A2DA5SD0IQEPBI","cs_wg_v7_pilot9","3AQF3RZ558JT8EAIRHIJVKNSRDCF66","LIPSTICK","3","11","9","0","2018-05-25 15:54:36","57358"
"A2DA5SD0IQEPBI","cs_wg_v7_pilot9","3AQF3RZ558JT8EAIRHIJVKNSRDCF66","GOLDEN","11","15","4","0","2018-05-25 15:54:36","57359"
"A2DA5SD0IQEPBI","cs_wg_v7_pilot9","3AQF3RZ558JT8EAIRHIJVKNSRDCF66","SMOKER","8","12","11","0","2018-05-25 15:54:36","57360"
"A2DA5SD0IQEPBI","cs_wg_v7_pilot9","3AQF3RZ558JT8EAIRHIJVKNSRDCF66","INFERNO","6","21","18","0","2018-05-25 15:54:36","57361"
"A2DA5SD0IQEPBI","cs_wg_v7_pilot9","3AQF3RZ558JT8EAIRHIJVKNSRDCF66","STEREOTYPE","7","22","25","0","2018-05-25 15:54:36","57362"
"A2DA5SD0IQEPBI","cs_wg_v7_pilot9","3AQF3RZ558JT8EAIRHIJVKNSRDCF66","UNHAPPY","9","19","16","0","2018-05-25 15:54:36","57363"
"A2DA5SD0IQEPBI","cs_wg_v7_pilot9","3AQF3RZ558JT8EAIRHIJVKNSRDCF66","POPCORN","10","11","15","0","2018-05-25 15:54:36","57364"
"A271V19C06841K","cs_wg_v7_pilot9","3L0KT67Y8EH4V3PA3KDALAQ0FDZSY2","MAILMAN","0","9","14","0","2018-05-25 15:54:43","57365"
"A271V19C06841K","cs_wg_v7_pilot9","3L0KT67Y8EH4V3PA3KDALAQ0FDZSY2","WEAPON","2","1","11","0","2018-05-25 15:54:43","57366"
"A271V19C06841K","cs_wg_v7_pilot9","3L0KT67Y8EH4V3PA3KDALAQ0FDZSY2","DOGSLED","1","7","15","0","2018-05-25 15:54:43","57367"
"A271V19C06841K","cs_wg_v7_pilot9","3L0KT67Y8EH4V3PA3KDALAQ0FDZSY2","LIPSTICK","3","16","18","0","2018-05-25 15:54:43","57368"
"A271V19C06841K","cs_wg_v7_pilot9","3L0KT67Y8EH4V3PA3KDALAQ0FDZSY2","FILMMAKER","5","12","16","0","2018-05-25 15:54:43","57369"
"A271V19C06841K","cs_wg_v7_pilot9","3L0KT67Y8EH4V3PA3KDALAQ0FDZSY2","RABIES","4","2","18","0","2018-05-25 15:54:43","57370"
"A271V19C06841K","cs_wg_v7_pilot9","3L0KT67Y8EH4V3PA3KDALAQ0FDZSY2","INFERNO","6","6","9","0","2018-05-25 15:54:44","57371"
"A271V19C06841K","cs_wg_v7_pilot9","3L0KT67Y8EH4V3PA3KDALAQ0FDZSY2","STEREOTYPE","7","5","2","0","2018-05-25 15:54:44","57372"
"A271V19C06841K","cs_wg_v7_pilot9","3L0KT67Y8EH4V3PA3KDALAQ0FDZSY2","SMOKER","8","15","16","0","2018-05-25 15:54:44","57373"
"A271V19C06841K","cs_wg_v7_pilot9","3L0KT67Y8EH4V3PA3KDALAQ0FDZSY2","UNHAPPY","9","8","11","0","2018-05-25 15:54:44","57374"
"A271V19C06841K","cs_wg_v7_pilot9","3L0KT67Y8EH4V3PA3KDALAQ0FDZSY2","GOLDEN","11","12","23","0","2018-05-25 15:54:44","57375"
"A271V19C06841K","cs_wg_v7_pilot9","3L0KT67Y8EH4V3PA3KDALAQ0FDZSY2","POPCORN","10","16","12","0","2018-05-25 15:54:44","57376"
"A3HW4QDJB63OQ2","cs_wg_v7_pilot9","3LRLIPTPEQA5B2EZI5QSR2HJVSJAKT","RABIES","4","2","18","0","2018-05-25 15:54:48","57377"
"A3HW4QDJB63OQ2","cs_wg_v7_pilot9","3LRLIPTPEQA5B2EZI5QSR2HJVSJAKT","FILMMAKER","5","12","16","0","2018-05-25 15:54:48","57378"
"A3HW4QDJB63OQ2","cs_wg_v7_pilot9","3LRLIPTPEQA5B2EZI5QSR2HJVSJAKT","WEAPON","2","1","11","0","2018-05-25 15:54:48","57379"
"A3HW4QDJB63OQ2","cs_wg_v7_pilot9","3LRLIPTPEQA5B2EZI5QSR2HJVSJAKT","MAILMAN","0","9","14","0","2018-05-25 15:54:48","57380"
"A3HW4QDJB63OQ2","cs_wg_v7_pilot9","3LRLIPTPEQA5B2EZI5QSR2HJVSJAKT","DOGSLED","1","7","15","0","2018-05-25 15:54:48","57381"
"A3HW4QDJB63OQ2","cs_wg_v7_pilot9","3LRLIPTPEQA5B2EZI5QSR2HJVSJAKT","LIPSTICK","3","16","18","0","2018-05-25 15:54:48","57382"
"A18JMMVN3ZOV8R","cs_wg_v7_pilot9","3H8DHMCCW9C399HB2FHUH3PPGVGKD5","MAILMAN","0","18","14","0","2018-05-25 15:54:48","57383"
"A18JMMVN3ZOV8R","cs_wg_v7_pilot9","3H8DHMCCW9C399HB2FHUH3PPGVGKD5","LIPSTICK","3","11","18","0","2018-05-25 15:54:48","57384"
"A18JMMVN3ZOV8R","cs_wg_v7_pilot9","3H8DHMCCW9C399HB2FHUH3PPGVGKD5","FILMMAKER","5","15","16","0","2018-05-25 15:54:48","57385"
"A18JMMVN3ZOV8R","cs_wg_v7_pilot9","3H8DHMCCW9C399HB2FHUH3PPGVGKD5","WEAPON","2","26","11","0","2018-05-25 15:54:48","57386"
