"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","stamp","id"
"A2WWYVKGZZXBOB","cs_wg_v7_real2","338JKRMM260E9CDRCKNVEA1QP2LAHX",,"Most letters in the set: T, P, O, K, I, C, H.","1","[1,4,0,4,4,0,3,2,6,3,3,3,2,2]","0","4","1","19619","bookshelf",,"180","2017-10-04 16:01:58","9528"
"A1J8TVICSRC70W","cs_wg_v7_real2","3O7L7BFSHEQHVK5NY772A5SWAUYEIP",,"Most vertical lines","6","[6,5,5,9,7,8,5,3,9,5,5,8,6,4]","0","6","0","30598","Community","COMMUNITY - 11
UMBRELLA - 9
TRAFFIC - 5
STOMACH - 6
LADDER - 5
STRUCTURE - 9
WEDDING - 5
HELICOPTER - 8

W","180","2017-10-04 16:02:08","9529"
"A1UBP7QDOJJPUO
","cs_wg_v7_real2","39GXDJN2OTF58PFWKBKLXKM47TVV83",,"Most letters in the set: S, G, E, F, B, N, L.","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","4","0","22320","BASKET, BOOKSHELF, STOMACH, HELICOPTER, FOOTBALL, COMMUNITY, MACHINE, KEYBOARD, TRAFFIC, LADDER, DOORWAY, STRUCTURE, UMBRELLA, WEDDING
BASKET, BOOKSHELF, STOMACH, HELICOPTER, FOOTBALL, COMMUNITY, MACHINE, KEYBOARD, TRAFFIC, LADDER, DOORWAY, STRUCTURE, UMBRELLA, WEDDING
STOMACH","BASKET, BOOKSHELF, STOMACH, HELICOPTER, FOOTBALL, COMMUNITY, MACHINE, KEYBOARD, TRAFFIC, LADDER, DOORWAY, STRUCTURE, UMBRELLA, WEDDING
BASKET, BOOKSHELF, STOMACH, HELICOPTER, FOOTBALL, COMMUNITY, MACHINE, KEYBOARD, TRAFFIC, LADDER, DOORWAY, STRUCTURE, UMBRELLA, WEDDING
","180","2017-10-04 16:02:11","9530"
"A23H7XNZHF8JQY","cs_wg_v7_real2","3YWRV122CS05VAQWFLAG1YKLTMN8US",,"Most letters in the set: S, G, E, F, B, N, L.","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","6","1","27348","Football",,"180","2017-10-04 16:02:25","9531"
"A2WWYVKGZZXBOB","cs_wg_v7_real2","338JKRMM260E9CDRCKNVEA1QP2LAHX",,"Most letters in the set: S, G, E, F, B, N, L.","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","1","6","1","23187","community",,"20","2017-10-04 16:02:53","9532"
"A1SQBU3MZKB312","cs_wg_v7_real2","3TK8OJTYM1MQEHED6SMWJ6HUW3VVPN",,"Most letters in the set: S, G, E, F, B, N, L.","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","6","1","24275","bookshelf","bookshelf
","180","2017-10-04 16:02:54","9533"
"ALZVG5501Y5IX","cs_wg_v7_real2","3FTYUGLFSUM0RQW8VSDOFE665WR5DD",,"Most letters in the set: S, G, E, F, B, N, L.","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","6","1","26840","STOMACH","0,2,0,1,3,3,3,2,2,2,2,3,4,1","180","2017-10-04 16:02:54","9534"
"A1J8TVICSRC70W","cs_wg_v7_real2","3O7L7BFSHEQHVK5NY772A5SWAUYEIP",,"Most letters in alphabet between word's 4th and 5th letters","5","[5,12,1,8,8,13,18,5,6,0,18,1,13,6]","1","5","0","10050","Research","I couldn't remember any other word","25","2017-10-04 16:02:55","9535"
"A1PBRKFHSF1OF8","cs_wg_v7_real2","31IBVUNM9S0EN4PJSPQR7C3QUX9FV5",,"Most letters in the set: S, G, E, F, B, N, L.","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","6","1","22093","BOOKSHELF","4, FOOTBALL","180","2017-10-04 16:03:16","9536"
"A12VU5YSHGQH2V","cs_wg_v7_real2","3G2UL9A02DFGTLVC9YK77SAAFGZ671",,"Most letters in alphabet between word's 4th and 5th letters","5","[5,12,1,8,8,13,18,5,6,0,18,1,13,6]","0","4","0","43275","Doorway","football 0
umbrella 10
keyboard13
traffic 5
stomach 4
Wedding 6
community 5
helicopter 11
","180","2017-10-04 16:03:34","9537"
"A23H7XNZHF8JQY","cs_wg_v7_real2","3YWRV122CS05VAQWFLAG1YKLTMN8US",,"Most letters come after the word's third letter in the alphabet.","3","[23,12,23,14,12,25,12,12,15,26,9,24,2,8]","1","5","1","55425","Wedding",,"15","2017-10-04 16:03:52","9538"
"A1SQBU3MZKB312","cs_wg_v7_real2","3TK8OJTYM1MQEHED6SMWJ6HUW3VVPN",,"Most letters in the set: T, P, O, K, I, C, H.","1","[1,4,0,4,4,0,3,2,6,3,3,3,2,2]","1","4","1","18069","boo",,"20","2017-10-04 16:03:54","9539"
"ALZVG5501Y5IX","cs_wg_v7_real2","3FTYUGLFSUM0RQW8VSDOFE665WR5DD",,"Most letters come after the word's third letter in the alphabet.","3","[23,12,23,14,12,25,12,12,15,26,9,24,2,8]","1","5","1","34593","GLAD",,"15","2017-10-04 16:03:58","9540"
"A38OPVI04AH4JG
","cs_wg_v7_real2","37C0GNLMHF4WAUWM0BNT7KK61R26DU",,"Most letters in the set: T, P, O, K, I, C, H.","1","[1,4,0,4,4,0,3,2,6,3,3,3,2,2]","0","4","1","26329","helicopter",,"180","2017-10-04 16:04:08","9541"
"A1PBRKFHSF1OF8","cs_wg_v7_real2","31IBVUNM9S0EN4PJSPQR7C3QUX9FV5",,"Most letters come after the word's third letter in the alphabet.","3","[23,12,23,14,12,25,12,12,15,26,9,24,2,8]","1","5","1","25824","TRAFFIC",,"15","2017-10-04 16:04:11","9542"
"A1JT9DNDMSQ34E","cs_wg_v7_real2","3R0T90IZ1SDO2VFECS14Z5FDA5TCG2",,"Most letters in the set: S, G, E, F, B, N, L.","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","6","1","25823","football","football","180","2017-10-04 16:04:11","9543"
"A12VU5YSHGQH2V","cs_wg_v7_real2","3G2UL9A02DFGTLVC9YK77SAAFGZ671",,"Most letters in the set: T, P, O, K, I, C, H.","1","[1,4,0,4,4,0,3,2,6,3,3,3,2,2]","1","4","1","14400","Keyboard",,"20","2017-10-04 16:04:24","9544"
"A193FEHCOS0E2J","cs_wg_v7_real2","3ZQIG0FLQEHGYQBEIE0RB0PQP0YVWI",,"Most letters come after the word's third letter in the alphabet.","3","[23,12,23,14,12,25,12,12,15,26,9,24,2,8]","0","5","1","41398","TRAFFIC",,"180","2017-10-04 16:04:25","9545"
"A2LDR8464HOYCM","cs_wg_v7_real2","3LOTDFNYA70R2TPOIZVNTEM416BFWF",,"Most vertical lines","6","[6,5,5,9,7,8,5,3,9,5,5,8,6,4]","0","4","1","20234","WEDDING",,"180","2017-10-04 16:04:27","9546"
"A2M9D02CIVECE3","cs_wg_v7_real2","3X0H8UUIT1P06YUAOJVM0D5JQW5WSF",,"Most letters come after the word's third letter in the alphabet.","3","[23,12,23,14,12,25,12,12,15,26,9,24,2,8]","0","5","1","25886","traffic","traffic","180","2017-10-04 16:04:30","9547"
"AY4LR4O9XWY56","cs_wg_v7_real2","3EJPLAJKEMHZDV1ISTCQYC39P9C6ZT",,"Most letters in the set: T, P, O, K, I, C, H.","1","[1,4,0,4,4,0,3,2,6,3,3,3,2,2]","0","4","1","32058","HELICOPTER","1: 6
2: 3
3: 4
4: 0
5: 1
6: 3
7: 2
8:3
9: 2
10: 3
11: 0
12: 1
13: 4
14: 2","180","2017-10-04 16:04:37","9548"
"A1CRD463RZUEXE","cs_wg_v7_real2","33FOTY3KEMMRYGPBU9G1SIB78GAC12",,"Most vertical lines","6","[6,5,5,9,7,8,5,3,9,5,5,8,6,4]","0","4","1","36641","COMMUNITY",,"180","2017-10-04 16:04:40","9549"
"A1UNHWWHOUKI8J","cs_wg_v7_real2","3HMVI3QICJT41JQGQ1YQP93QB4RY1V",,"Most letters in the set: T, P, O, K, I, C, H.","1","[1,4,0,4,4,0,3,2,6,3,3,3,2,2]","0","4","1","27800","Helicopter","helicopter","180","2017-10-04 16:04:55","9550"
"A1N16ZU0FNQEY6","cs_wg_v7_real2","39L1G8WVWQS3LGTS1G50ZF7D23X31V",,"Most vertical lines","6","[6,5,5,9,7,8,5,3,9,5,5,8,6,4]","0","4","1","45496","Helicopter","Helicopter-9
Structure- 5
Football- 5
","180","2017-10-04 16:04:59","9551"
"A1JT9DNDMSQ34E","cs_wg_v7_real2","3R0T90IZ1SDO2VFECS14Z5FDA5TCG2",,"Most letters in the set: T, P, O, K, I, C, H.","1","[1,4,0,4,4,0,3,2,6,3,3,3,2,2]","1","4","1","17759","basketba",,"20","2017-10-04 16:05:00","9552"
"AUG9SHX7VWH7Z","cs_wg_v7_real2","3PJUZCGDJ6H7BI2THAFP52X7G1D982",,"Most letters in alphabet between word's 4th and 5th letters","5","[5,12,1,8,8,13,18,5,6,0,18,1,13,6]","0","4","0","60056","football",,"180","2017-10-04 16:05:01","9553"
"A38OPVI04AH4JG
","cs_wg_v7_real2","37C0GNLMHF4WAUWM0BNT7KK61R26DU",,"Most letters in the set: S, G, E, F, B, N, L.","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","1","6","1","23470","football",,"20","2017-10-04 16:05:05","9554"
"A21ZXLGZ9OBHJV","cs_wg_v7_real2","3M1CVSFP606RM5CUVAAPNOTRGPHAQT",,"Most letters in the set: S, G, E, F, B, N, L.","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","6","1","65218","bookshelf","bookshelf 4, football 4","180","2017-10-04 16:05:15","9555"
"APW9F8OTJ4KXO","cs_wg_v7_real2","3M81GAB8A0KW5FHM1OALIZDXY72BQP",,"Most letters in the set: U, A, D, W, Y, R, M, .","2","[3,2,4,4,0,4,1,5,1,2,4,2,4,1]","0","4","1","23095","DOORWAY",,"180","2017-10-04 16:05:25","9556"
