"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","use_s1","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"A2DOIZHRZR5HHU","cs_wg_full_v2_real1","3OVR4I9USPKCKGWDM90YAL7TCGVQ42","30923","1048881","Male","862","Yes","No",,NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 17:37:17","4280"
"ABPM2716DVK3F","cs_wg_full_v2_real1","3OE22WJIGIPB1EQS1FRGNP5NBTJUQT","69540","1284064","Male","870","Yes","No",,NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 17:40:51","4281"
"ASLGHXA4453BQ","cs_wg_full_v2_real1","3JV9LGBJWTFPBKCH2XAVU59WNKMOGF","27872","1244521","Female","814","No","No","I wish I had more time. I tried to think of all the words. ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 17:41:03","4282"
"A1UKZRDH1T231M","cs_wg_full_v2_real1","3VZLGYJEYLBCWALETGLGYPGVAELZXK","64309","1259452","Male","856","No","No","Think about as many of the words as I could remember and choose the best of the lot.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 17:41:05","4283"
"A1S68DTVE9GU76","cs_wg_full_v2_real1","33OOO72IVHMS701KWS0BYOU4O0BCTF","56820","1407069","Female","764","No","No","tried to remember words I saw and wrote the first one that was close to the end. ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 17:43:02","4284"
"A29OCOF4PPVQJC","cs_wg_full_v2_real1","3VE8AYVF8MYGCST6KWFHFYJK70IF84","64033","1433028","Male","856","No","No","I kind of panicked, but recalled the ones that came to mind real fast and did a check. I knew N was decently along in the alphabet so went with it as a safe bet.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 17:43:15","4285"
"A1T0ND039EWAVV","cs_wg_full_v2_real1","3M0NZ3JDP1Z3UR14NA2L66PBHFC5ZH","51976","1382870","Female","848","No","No","No",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 17:43:48","4286"
"A1EQN91S6T820I","cs_wg_full_v2_real1","3NLZY2D53PQ8IO3YS1ZFW294Y2QLQQ","48766","1447129","Male","865","No","No","I just had penguin in my brain.  I didn't think of canvas though.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 17:44:04","4287"
"A3DG1J21ISJC9O","cs_wg_full_v2_real1","3JW0YLFXRTHTDFBJ8O5NX286KABWWY","41845","1424273","Male","830","No","No","I remembered banquet, but not canvas unfortunately.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 17:44:44","4288"
"A3H2Z8DCHVGTO6","cs_wg_full_v2_real1","3VAR3R6G1P2AI56ZJZY72SSYZ19O8Z","50815","1480078","Male","858","No","No","try and run through the list as quick as i could",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 17:45:35","4289"
