"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","use_s1","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"A3N7DA9P7ILG3A","cs_wg_full_v2_conf_real1","3YMU66OBIN9FJ3QUYKF5AWCVCUXGH1","27290","1433378","Male","1083","No","No","my strategy was panic and try to think of as many words as possible!",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:24:40","5194"
"A3FY600RAREUWJ","cs_wg_full_v2_conf_real1","3JBT3HLQF837N1JN7PBZ4CUS9B1ZPE","26462","1430037","Female","1051","No","No","Write down as many words as I could remember til I got to one that had a letter that was late in the alphabet.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:28:06","5195"
"A2AQS3E7V8BL25","cs_wg_full_v2_conf_real1","3YGXWBAF70I8QFMUHRZ3QGIC9XJ4CT","48501","1779275","Female","1111","No","No","I didn't really have a strategy for the third-to-last letter question. Whatever words popped into my head first is what I considered. I ran out of time before I could think of all 12 and consider them.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:30:28","5196"
"A34KBXMFSX192X","cs_wg_full_v2_conf_real1","3PZDLQMM0TMYN177DDGFX1LEPJNC25","85412","1757048","Female","992","No","No",,NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:30:36","5197"
"A15E4I3BZKHNUV","cs_wg_full_v2_conf_real1","3WMOAN2SRBYQBW20QD94FHC1LLUNV6","76095","1841810","Male","1093","No","No","I tried to think of as many of the words from the Part 1 as possible, mainly focusing on the endings of the words",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:32:45","5198"
"A1MJX6Q6BTWA6","cs_wg_full_v2_conf_real1","3PH3VY7DJLYX7AGOJBPUW62O284WZ6","111725","1800994","Female","973","No","No","for some reason jacket stuck in my mind ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:33:46","5199"
"A6WXXHDSS0PWB","cs_wg_full_v2_conf_real1","3WETL7AQWT929YUB237C25KW3G2350","26016","1722862","Male","1101","Yes","No","I mulled over the ""stranger"" words like casino and spatula. I then picked spatula and checked the position of ""u"" in my head. I then tried to think if any of the letters that followed ""u"" were present in any of the other words. I didn't get very far before the timer went off though.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:34:12","5200"
"A200H4TX468LE","cs_wg_full_v2_conf_real1","3XLBSAQ9Z4DIHVFNB3HI4Q379HWZ78","31849","1476458","Female","1006","No","No","I looked at the words around me in my room because I did not have alot of time.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:34:14","5201"
"A32QRY3NAE9PUD","cs_wg_full_v2_conf_real1","3SB5N7Y3O35483KY0C8K44DEQDW0GK","58432","1725189","Female","1109","No","No","just try to think of as many words as I could remember from part and hope the third to last letter was late in the alphabet!",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:34:38","5202"
"A1NKALTJ3MV9WE","cs_wg_full_v2_conf_real1","32M8BPYGATNFFY1E42XQA8DAC7CGIU","49748","2032526","Male","1111","No","No","No strategy. I wanted to get something good enough down in case I could think of something better and then I realized that the highest point word from the previous test would have been a higher point than what I wrote down. ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:35:02","5203"
"A1UM1PRML2NIZK","cs_wg_full_v2_conf_real1","3ZY8KE4ISJ4BETFS651LJB76QWHQVW","54348","1924700","Male","1108","No","No","I just thought about all the words I could remember and the spelling and looked for one with a letter towards the end.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:35:25","5204"
"A1PH7DRL1MYDVD","cs_wg_full_v2_conf_real1","39L1G8WVWQS3LGTS1G50ZF7FR0W13F","61895","2087377","Male","1075","Yes","No","thinking about the letter that came latest in the alphabet",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:35:39","5205"
"A2ZXEIWT5I1E16","cs_wg_full_v2_conf_real1","3EFVCAY5L3AWHUF23M62UWBC13PJ8U","54533","1766944","Male","1045","No","Yes","I didn't have any strategy, really. Also, I'd love to be a part of future studies if possible!",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:35:48","5206"
"AM07QUMFG09VB","cs_wg_full_v2_conf_real1","3VW04L3ZLT7NRFLZSYXV140K3ACXX3","73019","1829509","Female","1101","No","No","JUST TRY TO THINK OF AS MANY AS POSSIBLE AND ENTER THE ONE WITH THE HIGHEST LETTER COUNT AS IT CAME TO MIND SO THERE WAS AT LEAST SOME KIND OF ANSWER.  BIKINI WAS HARD TO GET OUT OF MY MIND THOUGH.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:36:00","5207"
"A27HDPRLE3Q24K","cs_wg_full_v2_conf_real1","3SPJ0334214BW06KGQ4WT9ZEUIRJY7","43113","1990365","Female","999","No","No","I am not smart enough for that one and didn't really understand it. ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:36:03","5208"
"A3E3J27LF4OX9M","cs_wg_full_v2_conf_real1","3PJ71Z61R43P0II8IP6AQSA1RSA190","27343","1239794","Male","1096","Yes","No","Recalled a random word",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:36:32","5209"
"ATPP8K1QW0ID4","cs_wg_full_v2_conf_real1","3018Q3ZVOIRRY6RU8PZPSE3Y18IRAX","66125","2085718","Female","1031","No","No","I guessed for the ""third-to-last letter"" question. I did not think I had enough time. ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:36:38","5210"
"AXVRBW3FG3OKM","cs_wg_full_v2_conf_real1","3M81GAB8A0KW5FHM1OALIZDZN42BQC","51764","1803759","Female","1063","Yes","No","I just tried to think of as many as I could and which one was best",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:36:42","5211"
"A3BOFWD3AVRMLC","cs_wg_full_v2_conf_real1","3L4PIM1GQTHSUOPXOVD5V0L54ZLYRE","67546","1923791","Female","1073","No","No","great study",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:37:02","5212"
"A1LW3ULGLDNUJG
A1LW3ULGLDNUJG
A1LW3ULGLDNUJG
A1LW3ULGLDNUJG
A1LW3ULGLDNUJG","cs_wg_full_v2_conf_real1","32KTQ2V7RDGMW74XBBP8AKY4P319MC","75372","2134990","Female","1090","No","No","I was trying to think of a word that had a letter late in the alphabet toward the end of the word.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:37:11","5213"
"A3OY12FPDU2Q0F","cs_wg_full_v2_conf_real1","38SKSKU7R1YV1QFFFTU6N0II8OZIL3","38799","1902773","Female","1104","No","No","I didn't have a strategy. I just let it come naturally. ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:37:30","5214"
"ALWBY9MDZO4Y6","cs_wg_full_v2_conf_real1","3WAKVUDHUWH1VWLD5GIANYOS7ZGU7D","58178","2073420","Male","1107","No","No","i enjoyed this study! I remembered spiral and knew that R was a good amount",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:37:37","5215"
"A2JYMJRDXYSJY1","cs_wg_full_v2_conf_real1","308XBLVESI5WHGWME3ZLNPN4JQ3BRC","57762","2216469","Male","1094","No","No","Just tried to remember all the words and spell them as fast as possible in my head",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:37:45","5216"
"A39JF0D4ATG1WV","cs_wg_full_v2_conf_real1","304SM51WA358IVWZTSZQDZS05SMBS0","42650","2057094","Male","1061","No","No","first one that came to mind was silver and I thought that was pretty good so I just went with it.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:37:50","5217"
"A1UGSMZK583C0A","cs_wg_full_v2_conf_real1","3QAVNHZ3EM5GV8WH352T62UZVGULA2","79189","1947541","Male","1088","No","No","none. Costume had the letter further in the alphabet.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:37:58","5218"
"A3PAM78YZZC0S9","cs_wg_full_v2_conf_real1","3VAR3R6G1P2AI56ZJZY72SSY0XZ8O2","72534","1879649","Male","1078","No","No","It was fun. I kind of panicked on the 'third-to-last letter' question because of the timer, forgery was the first word I thought of.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:37:59","5219"
"A1WOFSTPXHWVF1","cs_wg_full_v2_conf_real1","3WYGZ5XF3WG9BY0TZ5CJC2BQSMVSK1","78481","2053154","Female","1103","No","No","I wasn't able to finish typig the word Beaver for the third to last question, so I'm sad about that. I LOVED this study. It required me to think a lot, but it wasn't impossible by any means! I would do this again in a heartbeat!! (Obviously with different words). My strategy for the 'third-to-last' question was, there was no strategy. I was the 15 seconds timer, panicked, and wrote down the first three words that came to mind until I thought of Beaver, which I realized v was the third to last le",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:38:23","5220"
"A2SHX1MACQJ5K5","cs_wg_full_v2_conf_real1","3IOEN3P9S7K2IZGAKI3Y6IJZ1RZ16M","44425","1927443","Female","1063","No","No","JUST TRIED TO REMEMBER THE WORDS",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:38:42","5221"
"A3BPTARPGHYU1N","cs_wg_full_v2_conf_real1","31Q0U3WYDPGLMZUF3S8QCWJVW2K17M","39248","1456542","Female","1068","No","No","I tried to quickly remember as many words as I could",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:38:52","5222"
"A2223XYV804AY7","cs_wg_full_v2_conf_real1","3HSYG7LRBJZBNFNLUW3HLGKGBSIKKC","49308","2136563","Female","1087","No","No","I just wrote down all the words that I knew.  I knew there weren't any words with a Z so I didn't really focus on anything but writing down all the words that I remembered.  
I love this study because as time went on I remembered the words and their amount - I had a mental list and way to remember - Pillar (if ever in the P choose that!), Coffee (much needed and worth a lot!).  ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:39:43","5223"
"A223BBAD3U6QFR","cs_wg_full_v2_conf_real1","3HL8HNGX452GQXCGPOLVFUEVS2P9F5","77116","2363682","Female","968","No","No","I really enjoyed the study and the fact that I had to try to come up with a strategy to remember which words to avoid and which words to always choose. I'm wondering if I missed something. I did choose 26 and 26 for the given word since the word's letter in that position was Z. Now I'm wondering if I was supposed to choose a word from task 1. Thank you for this enjoyable task.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:39:52","5224"
"A1JQZLDXTQ99VL","cs_wg_full_v2_conf_real1","3HSYG7LRBJZBNFNLUW3HLGKGBSJKKD","65909","1852488","Female","1104","No","No","I just thought of the first words that came to my head.  But I looked at the timer and only had 15 seconds so I just had to pick something fast.  It was hard..",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:39:57","5225"
"A25H7IWPY3O3ZN","cs_wg_full_v2_conf_real1","3U088ZLJVKU05PAYFHC2Q7Z2K1O0WL","42507","1624812","Female","1064","No","No","My strategy was to type out the words and change my answer to whatever was the latest of the words I'd looked at so far. Also there aren't THAT many letters after U, so I figured there was a good chance I was right. This survey was fun.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:39:59","5226"
"A1I3F99BZ6PWUN","cs_wg_full_v2_conf_real1","3DY46V3X3PJ5NDHFGMV5H2IGHCT55S","69405","2100292","Female","1104","No","No","I knew there were some words that had the letter ""r"" near the end, but then I also remembered ""silver"" at the last second and didn't have time to type it into the text box.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:40:02","5227"
"AKZ90EFX5RU8","cs_wg_full_v2_conf_real1","3Z7VU45IPYI4690LMN093GCU6VVZ1A","87032","2157147","Female","1065","No","No","I DREW A BLANK ON ALL WORDS I HAD SEEN AND WENT WITH THE ONLY ONE I COULD THINK OF.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:40:03","5228"
"A3UK4IH1X64TYH","cs_wg_full_v2_conf_real1","3BF51CHDTVBI8ZF9KIQ2P4PF5D8H0Z","62814","2213592","Female","1120","No","No","I had no idea what it was! ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:40:04","5229"
"A2PRES757TVJ64","cs_wg_full_v2_conf_real1","3HPZF4IVNMUOOM0E6YNA65MJ4YIYC8","141446","2125627","Female","1118","No","No","I knew the order of the rankings by that point. So I just started at the top of my list (which was ordered based on point value) and got shiver. I sort of thought about the other answers, but I was pretty sure that was going to be the highest, so I went ahead and typed it into the box before considering further. Time ran out before I got through to sunburn, which would have been a close one.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:40:24","5230"
"AP9WIQ4P78XLH","cs_wg_full_v2_conf_real1","3YZ8UPK3VTN77DG9WXQL3KG68A7UC6","62912","2224414","Male","1128","Yes","No","I knew there were none with a Z, which would earn the most, so I thought backwards through the alphabet and remembered trivia. IT seemed like the best choice given the constraints. I also remembered it specifically because it earned a lot of points in the first round, even though those didn't count in part 2.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:40:45","5231"
"A1WCRV1WEWA63I","cs_wg_full_v2_conf_real1","39DD6S19JPC3QAUXYBVOA0VOV4ZEZ8","84835","2288091","Male","1085","No","No","Trying to think of what word I could regardless of the 3rd-to-last letter",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:41:30","5232"
"A38OW4JHJ0A5G3","cs_wg_full_v2_conf_real1","3Z3ZLGNNSIVR2KD9MVVF0GFNZCP3QD","49094","2119795","Female","1075","No","No","I just tried to remember all the words form part 1 ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:41:44","5233"
"A1G4ES5Y166X1","cs_wg_full_v2_conf_real1","33LKR6A5KEL8KXRMGVBRHSBDLZ9T1O","84521","2191661","Male","1029","Yes","No","IT'S DIFICULLTY",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:41:51","5234"
"AWQUZJYGRI1XO","cs_wg_full_v2_conf_real1","3B1NLC6UGZX7WKOIHXNAJ5EMYLBGPA","44981","1521913","Male","1111","No","No","I remembered liquid the most because it was the most worthless, and had a Q. I did not consider hermit which was the second most valuable which had an R.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:42:18","5235"
"COPIEDA16XE94ELE67YY","cs_wg_full_v2_conf_real1","3KXIR214I4HVSXUSKYAXE39QX6742L","53482","2122580","Female","1103","No","No","I thought about the letters late in the alphabet.  Beaver came to mind right away, and ""v"" is so late in the alphabet that I was sure it was a good choice.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:42:52","5236"
"A10XYV3J4IW2AU","cs_wg_full_v2_conf_real1","3YOH7BII098P3QHXT0HONPVXRQQKVZ","60036","2012829","Female","1035","No","No","I was going to type them out if need be but Trivia popped into my head and I just went with it.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:43:01","5237"
"A25Y3M3QDPL93H","cs_wg_full_v2_conf_real1","3BC8WZX3V3XJXNDBA0LBN4S81C6RR5","81832","2006042","Female","1076","No","No","no",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:43:02","5238"
"A6JUX77CEBYYT","cs_wg_full_v2_conf_real1","3RYC5T2D73UYLAXWX8HMI9ST0UIRPD","60670","2010896","Female","1079","No","No","I was under pressure, and just guessed the first one that came to mind. Probably because it had the most point value in part 1.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:43:14","5239"
"A1I4N5DWJBTZ5C","cs_wg_full_v2_conf_real1","33C7UALJVLZPMDZYDX0WQWFQ7MS18B","40092","1655416","Female","1068","No","No","I just thought quickly and guessed  ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:43:31","5240"
"AVCP33K35MFW5","cs_wg_full_v2_conf_real1","3PB5A5BD0V7IQEKILBTTJJN1YR1G7Z","51744","2531740","Female","1066","Yes","No","tried to remember and spell the words",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:43:37","5241"
"A20IA63WXHF683","cs_wg_full_v2_conf_real1","333U7HK6I9G8YPBTKUHIGOPDCULJDZ","30710","1943129","Female","1045","No","No","Thanks! I just tried to quickly make a mental image of the list of words.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:44:35","5242"
"A1CSA5GQU0HYHO","cs_wg_full_v2_conf_real1","3YDTZAI2WXHO3CCW1UAJ9KZL50S140","67345","2564273","Male","1034","Yes","No","GOOD",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:44:41","5243"
"A1PIGZNLSQMGNW","cs_wg_full_v2_conf_real1","3TY7ZAOG5FL9APGHQ3TZ2W57XUGK0A","59017","1638441","Male","1053","No","No","I enjoyed this study!  I didn't have much of a strategy to be honest.  I just started thinking about all of the words that I encountered and tried to think of which one had the 3rd to last letter fall the latest.  
Thank you for the opportunity!",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-03 14:44:56","5244"
