Subj,Trial,Choice,MFval,MBval,MF_top,MB_top
1,1,14,0.5,1,1,1
1,2,14,0.5,0.7,1,1
1,3,18,0.1,0.9,1,1
1,4,11,0.5,0.9,1,1
1,5,25,0.5,1,1,1
1,6,22,-0.3,0.8,0,1
1,7,29,0.3,1,1,1
1,8,25,0.5,0.9,1,1
1,9,19,0.3,0.8,1,1
1,10,11,0.5,0.9,1,1
1,11,11,0.5,1,1,1
1,12,4,0.5,1,1,1
1,13,5,0.2,0.9,1,1
1,14,1,0.5,1,1,1
1,15,3,-0.1,0.9,0,1
2,1,13,0.5,1,1,1
2,2,20,0.3,0.9,1,1
2,3,17,0.5,0.9,1,1
2,4,17,0.5,1,1,1
2,5,13,0.5,0.8,1,1
2,6,13,0.5,1,1,1
2,7,17,0.5,0.8,1,1
2,8,21,0.4,0.8,1,1
2,9,17,0.5,1,1,1
2,10,2,0.1,1,1,1
2,11,24,0.4,0.9,1,1
2,12,4,0.2,1,1,1
2,13,19,0.3,1,1,1
2,14,19,0.3,1,1,1
2,15,24,0.4,1,1,1
3,1,4,0.4,1,1,1
3,2,29,0.4,0.7,1,1
3,3,18,0.4,0.9,1,1
3,4,25,0.4,0.9,1,1
3,5,25,0.4,1,1,1
3,6,13,0.4,1,1,1
3,7,15,0.2,0.9,1,1
3,8,25,0.4,0.9,1,1
3,9,26,0.2,0.9,1,1
3,10,28,0.4,1,1,1
3,11,24,0.4,0.9,1,1
3,12,4,0.4,1,1,1
3,13,13,0.4,0.9,1,1
3,14,1,0,1,0,1
3,15,24,0.4,1,1,1
4,1,14,0.2,1,1,1
4,2,19,-0.1,0.6,0,1
4,3,19,-0.1,0.8,0,1
4,4,20,0.4,1,1,1
4,5,12,-0.1,0.9,0,1
4,6,1,-0.1,1,0,1
4,7,1,-0.1,1,0,1
4,8,25,0,0.9,1,1
4,9,11,0.3,0.7,1,1
4,10,21,0.5,0.7,1,1
4,11,11,0.3,1,1,1
4,12,1,-0.1,0.9,1,1
4,13,9,0.4,1,1,1
4,14,19,-0.1,1,0,1
4,15,21,0.5,1,1,1
5,1,13,-0.3,1,0,1
5,2,17,0.4,0.7,1,1
5,3,19,0.3,0.8,1,1
5,4,8,0.2,0.7,1,1
5,5,10,0.2,0.6,1,0
5,6,20,0.2,1,1,1
5,7,28,-0.2,0.5,0,1
5,8,10,0.2,0.7,1,1
5,9,7,-0.2,0.6,0,1
5,10,10,0.2,0.9,1,1
5,11,29,0,1,1,1
5,12,10,0.2,1,1,1
5,13,27,0.4,0.6,1,1
5,14,14,-0.2,0.7,0,1
5,15,4,-0.2,0.3,0,0
6,1,8,0.5,1,1,1
6,2,12,0.4,1,1,1
6,3,27,0.4,0.9,1,1
6,4,4,-0.1,1,0,1
6,5,25,0.1,1,0,1
6,6,8,0.5,0.9,1,1
6,7,14,-0.4,0.8,0,1
6,8,22,0.4,0.9,1,1
6,9,2,0.2,1,1,1
6,10,28,0.4,1,1,1
6,11,11,0.4,1,1,1
6,12,3,-0.1,0.9,0,1
6,13,12,0.4,0.9,1,1
6,14,8,0.5,0.8,1,1
6,15,8,0.5,0.6,1,1
7,1,15,0.4,0.9,1,1
7,2,25,0.4,0.5,1,1
7,3,27,0.3,0.9,1,1
7,4,20,-0.1,1,1,1
7,5,12,0.5,0.9,1,1
7,6,20,-0.1,1,1,1
7,7,15,0.4,0.9,1,1
7,8,25,0.4,0.9,1,1
7,9,12,0.5,0.9,1,1
7,10,28,-0.2,1,0,1
7,11,12,0.5,0.9,1,1
7,12,30,0.4,0.7,1,1
7,13,19,0.5,1,1,1
7,14,1,0.3,1,1,1
7,15,1,0.3,0.5,1,1
8,1,13,0.2,1,1,1
8,2,22,0.2,0.8,1,1
8,3,18,0.4,0.9,1,1
8,4,20,0.2,1,1,1
8,5,9,0.2,0.9,1,1
8,6,22,0.2,0.8,1,1
8,7,27,0.3,0.8,1,1
8,8,30,0.4,0.9,1,1
8,9,19,0.2,0.8,1,1
8,10,19,0.2,0.9,1,1
8,11,22,0.2,0.9,1,1
8,12,23,0.5,0.8,1,1
8,13,9,0.2,1,1,1
8,14,18,0.4,0.8,1,1
8,15,25,0.4,0.9,1,1
9,1,14,0.4,1,1,1
9,2,20,-0.2,0.9,0,1
9,3,14,0.4,0.8,1,1
9,4,26,0.5,0.6,1,1
9,5,25,0.5,1,1,1
9,6,26,0.5,0.9,1,1
9,7,14,0.4,0.8,1,1
9,8,26,0.5,0.8,1,1
9,9,2,0.4,1,1,1
9,10,2,0.4,1,1,1
9,11,29,0.2,1,1,1
9,12,2,0.4,1,1,1
9,13,3,0.5,0.8,1,1
9,14,18,0.3,0.8,1,1
9,15,25,0.5,0.9,1,1
10,1,4,0.5,1,1,1
10,2,22,0.5,0.8,1,1
10,3,25,0.3,0.7,1,1
10,4,4,0.5,1,1,1
10,5,25,0.3,1,1,1
10,6,22,0.5,0.8,1,1
10,7,9,0.4,0.8,1,1
10,8,27,0.2,0.7,1,1
10,9,17,0.3,1,1,1
10,10,19,0.3,0.9,1,1
10,11,22,0.5,0.9,1,1
10,12,4,0.5,1,1,1
10,13,9,0.4,1,1,1
10,14,22,0.5,0.7,1,1
10,15,25,0.3,0.9,1,1
11,1,4,0.3,1,1,1
11,2,8,0.4,0.8,1,1
11,3,11,0.5,0.9,1,1
11,4,4,0.3,1,1,1
11,5,9,-0.4,0.9,0,1
11,6,21,0.5,0.9,1,1
11,7,5,0.2,1,1,1
11,8,12,0.3,1,1,1
11,9,2,0.3,1,1,1
11,10,28,0.4,1,1,1
11,11,12,0.3,0.9,1,1
11,12,10,-0.1,1,0,1
11,13,19,0.5,1,1,1
11,14,18,-0.1,0.8,0,1
11,15,21,0.5,1,1,1
12,1,13,0.3,1,1,1
12,2,20,0.1,0.9,1,1
12,3,30,0,0.7,0,1
12,4,21,0.2,0.8,1,1
12,5,26,0.2,0.9,1,1
12,6,7,0.5,0.5,1,1
12,7,1,-0.3,1,0,1
12,8,11,0.1,0.8,1,1
12,9,17,0.4,1,1,1
12,10,17,0.4,0.9,1,1
12,11,15,0.3,0.4,1,0
12,12,2,0.3,1,1,1
12,13,7,0.5,0.9,1,1
12,14,8,0.5,0.8,1,1
12,15,17,0.4,0.9,1,1
13,1,17,0.4,1,1,1
13,2,17,0.4,0.7,1,1
13,3,7,0.5,0.6,1,1
13,4,21,0.4,0.8,1,1
13,5,18,0.4,0.9,1,1
13,6,13,0.2,1,1,1
13,7,17,0.4,0.8,1,1
13,8,2,0.4,0.6,1,1
13,9,18,0.4,0.6,1,1
13,10,17,0.4,0.9,1,1
13,11,3,0.5,0.9,1,1
13,12,1,0.4,0.9,1,1
13,13,7,0.5,0.9,1,1
13,14,7,0.5,0.4,1,0
13,15,24,0.5,1,1,1
14,1,4,-0.1,1,0,1
14,2,22,-0.3,0.8,0,1
14,3,18,0.5,0.9,1,1
14,4,4,-0.1,1,1,1
14,5,18,0.5,0.9,1,1
14,6,1,0.5,1,1,1
14,7,1,0.5,1,1,1
14,8,18,0.5,0.8,1,1
14,9,19,-0.1,0.8,1,1
14,10,29,0.4,0.9,1,1
14,11,29,0.4,1,1,1
14,12,18,0.5,0.8,1,1
14,13,9,0.1,1,1,1
14,14,1,0.5,1,1,1
14,15,21,-0.3,1,0,1
15,1,13,0.3,1,0,1
15,2,1,0.5,0.7,1,1
15,3,19,0.5,0.8,1,1
15,4,12,0.4,0.8,1,1
15,5,26,0.4,0.9,1,1
15,6,16,0.5,0.6,1,1
15,7,1,0.5,1,1,1
15,8,1,0.5,0.5,1,0
15,9,19,0.5,0.8,1,1
15,10,16,0.5,0.4,1,0
15,11,1,0.5,0.1,1,0
15,12,1,0.5,0.9,1,1
15,13,7,0.4,0.9,1,1
15,14,5,0.3,0.3,1,0
15,15,16,0.5,1,1,1
16,1,17,0.3,1,1,1
16,2,20,0.3,0.9,1,1
16,3,17,0.3,0.9,1,1
16,4,17,0.3,1,1,1
16,5,25,-0.1,1,0,1
16,6,13,0.3,1,1,1
16,7,29,0.1,1,0,1
16,8,21,0.4,0.8,1,1
16,9,22,0.4,0.6,1,1
16,10,28,0.1,1,0,1
16,11,18,0.4,0.9,1,1
16,12,4,0.2,1,1,1
16,13,19,0.1,1,1,1
16,14,1,0.3,1,1,1
16,15,16,0.5,1,1,1
17,1,26,0.5,0.5,1,0
17,2,14,0.1,0.7,1,1
17,3,8,0.1,0.4,0,1
17,4,4,0.4,1,1,1
17,5,25,0.1,1,1,1
17,6,26,0.5,0.9,1,1
17,7,12,0.5,0.6,1,1
17,8,20,0.2,0.5,1,0
17,9,16,0.3,0.4,1,0
17,10,19,-0.3,0.9,0,1
17,11,30,0.1,0.2,1,0
17,12,30,0.1,0.7,0,1
17,13,4,0.4,0.6,1,1
17,14,14,0.1,0.7,0,1
17,15,28,0.1,0.4,1,1
18,1,13,-0.2,1,0,1
18,2,12,0.5,1,1,1
18,3,28,0.3,0.7,1,1
18,4,17,-0.1,1,1,1
18,5,23,0.4,0.9,1,1
18,6,22,0.4,0.8,1,1
18,7,29,0.3,1,1,1
18,8,12,0.5,1,1,1
18,9,12,0.5,0.9,1,1
18,10,29,0.3,0.9,1,1
18,11,28,0.3,0.8,1,1
18,12,29,0.3,0.8,1,1
18,13,12,0.5,0.9,1,1
18,14,12,0.5,0.6,1,1
18,15,18,0.3,0.5,1,1
19,1,13,0.4,1,1,1
19,2,12,0.4,1,1,1
19,3,7,0.1,0.6,0,1
19,4,20,0.5,1,1,1
19,5,12,0.4,0.9,1,1
19,6,20,0.5,1,1,1
19,7,29,0.5,1,1,1
19,8,27,0.4,0.7,1,1
19,9,22,0.5,0.6,1,1
19,10,29,0.5,0.9,1,1
19,11,22,0.5,0.9,1,1
19,12,1,0.5,0.9,1,1
19,13,28,0.2,0.9,1,1
19,14,8,-0.2,0.8,0,1
19,15,25,0.2,0.9,1,1
20,1,15,0.2,0.9,1,1
20,2,29,0.5,0.7,1,1
20,3,17,0,0.9,0,1
20,4,24,0.1,1,0,1
20,5,25,0.5,1,1,1
20,6,25,0.5,0.8,1,1
20,7,13,0.3,0.6,1,1
20,8,25,0.5,0.9,1,1
20,9,2,0.4,1,1,1
20,10,26,0.2,0.9,1,1
20,11,29,0.5,1,1,1
20,12,2,0.4,1,1,1
20,13,1,0.1,0.8,1,1
20,14,1,0.1,1,1,1
20,15,3,0.3,0.9,1,1
21,1,8,0.5,1,1,1
21,2,8,0.5,0.8,1,1
21,3,11,0.4,0.9,1,1
21,4,15,0.5,0.6,1,1
21,5,11,0.4,0.7,1,1
21,6,8,0.5,0.9,1,1
21,7,15,0.5,0.9,1,1
21,8,18,0.1,0.8,1,1
21,9,12,0.3,0.9,1,1
21,10,10,0.5,0.9,1,1
21,11,11,0.4,1,1,1
21,12,10,0.5,1,1,1
21,13,19,0.5,1,1,1
21,14,19,0.5,1,1,1
21,15,17,0.1,0.9,1,1
22,1,8,0,1,1,1
22,2,8,0,0.8,1,1
22,3,18,0.3,0.9,1,1
22,4,4,0.4,1,1,1
22,5,18,0.3,0.9,1,1
22,6,13,0.5,1,1,1
22,7,5,0.2,1,1,1
22,8,5,0.2,1,1,1
22,9,12,0,0.9,1,1
22,10,25,-0.4,0.9,0,1
22,11,18,0.3,0.9,1,1
22,12,2,-0.1,1,0,1
22,13,19,0.1,1,1,1
22,14,19,0.1,1,1,1
22,15,3,0.4,0.9,1,1
23,1,17,0.1,1,1,1
23,2,11,0.4,0.7,1,1
23,3,11,0.4,0.9,1,1
23,4,24,0.5,1,1,1
23,5,26,0.5,0.9,1,1
23,6,1,-0.1,1,1,1
23,7,1,-0.1,1,1,1
23,8,11,0.4,0.8,1,1
