subject,trial,choice_real_ind,s1_value,rank_value
1,1,10,0,13
1,2,1,0,13
1,3,5,0,4
1,4,7,10,10
1,5,2,10,14
1,6,7,10,14
1,7,3,0,9
1,8,10,0,13
2,1,3,10,12
2,2,2,10,11
2,3,13,10,12
2,4,9,0,2
2,5,12,0,13
2,6,13,10,13
2,7,4,10,14
2,8,3,10,14
3,1,10,0,13
3,2,9,10,12
3,3,9,10,7
3,4,8,10,4
3,5,1,10,9
3,6,7,0,14
3,7,12,10,11
3,8,12,10,12
4,1,7,10,9
4,2,1,10,13
4,3,7,10,13
4,4,1,10,13
4,5,8,10,12
4,6,14,10,4
4,7,8,10,10
4,8,1,10,11
5,1,1,0,14
5,2,3,10,8
5,3,11,10,11
5,4,2,0,6
5,5,2,0,14
5,6,4,0,10
5,7,3,10,9
5,8,10,10,13
6,1,8,0,10
6,2,1,10,13
6,3,5,0,4
6,4,13,10,11
6,5,2,0,14
6,6,6,0,9
6,7,14,10,6
6,8,3,10,14
7,1,6,10,8
7,2,9,0,12
7,3,13,10,12
7,4,2,0,6
7,5,13,10,7
7,6,6,10,9
7,7,5,10,12
7,8,12,10,12
8,1,10,10,13
8,2,7,10,14
8,3,1,0,14
8,4,7,10,10
8,5,11,0,5
8,6,7,10,14
8,7,12,0,11
8,8,10,10,13
9,1,8,10,10
9,2,5,10,1
9,3,7,10,13
9,4,7,10,10
9,5,8,10,12
9,6,8,10,12
9,7,7,10,8
9,8,13,10,10
10,1,3,0,12
10,2,7,0,14
10,3,7,0,13
10,4,10,10,12
10,5,2,0,14
10,6,12,10,5
10,7,12,10,11
10,8,5,10,6
11,1,7,0,9
11,2,9,10,12
11,3,13,10,12
11,4,14,10,14
11,5,3,0,11
11,6,7,0,14
11,7,3,0,9
11,8,1,0,11
12,1,10,0,13
12,2,2,10,11
12,3,5,0,4
12,4,6,0,7
12,5,6,0,10
12,6,1,10,11
12,7,5,0,12
12,8,1,10,11
13,1,2,0,3
13,2,14,10,9
13,3,4,10,5
13,4,1,0,13
13,5,4,10,6
13,6,11,10,2
13,7,11,10,7
13,8,7,10,7
14,1,1,10,14
14,2,7,10,14
14,3,10,0,6
14,4,13,0,11
14,5,2,10,14
14,6,7,10,14
14,7,5,0,12
14,8,10,0,13
15,1,3,0,12
15,2,5,10,1
15,3,11,10,11
15,4,10,10,12
15,5,6,0,10
15,6,2,0,7
15,7,14,10,6
15,8,12,10,12
16,1,7,10,9
16,2,11,10,6
16,3,1,10,14
16,4,13,0,11
16,5,12,0,13
16,6,12,0,5
16,7,14,0,6
16,8,8,10,9
17,1,6,10,8
17,2,7,10,14
17,3,7,10,13
17,4,6,10,7
17,5,6,10,10
17,6,13,10,13
17,7,4,10,14
17,8,10,10,13
18,1,3,0,12
18,2,14,0,9
18,3,9,10,7
18,4,7,10,10
