Subj,Trial,OptionID,Choice,MFval,MBval,Choice2
1,1,1,0,0,14,4
1,1,2,0,1,3,0
1,1,3,0,0,12,0
1,1,4,1,1,5,0
1,1,5,0,0,2,0
1,1,6,0,1,8,0
1,1,7,0,1,9,0
1,1,8,0,1,10,0
1,1,9,0,0,4,0
1,1,10,0,0,13,0
1,1,11,0,1,11,0
1,1,12,0,1,6,0
1,1,13,0,0,7,0
1,1,14,0,0,1,0
1,2,1,0,0,13,6
1,2,2,0,1,11,0
1,2,3,0,0,8,0
1,2,4,0,1,4,0
1,2,5,0,0,1,0
1,2,6,1,1,3,0
1,2,7,0,1,14,0
1,2,8,0,1,5,0
1,2,9,0,0,12,0
1,2,10,0,0,10,0
1,2,11,0,1,6,0
1,2,12,0,1,7,0
1,2,13,0,0,2,0
1,2,14,0,0,9,0
1,3,1,0,0,14,7
1,3,2,0,1,2,0
1,3,3,0,0,3,0
1,3,4,0,1,5,0
1,3,5,0,0,4,0
1,3,6,0,1,9,0
1,3,7,1,1,13,0
1,3,8,0,1,1,0
1,3,9,0,0,7,0
1,3,10,0,0,6,0
1,3,11,0,1,11,0
1,3,12,0,1,10,0
1,3,13,0,0,12,0
1,3,14,0,0,8,0
1,4,1,0,0,13,2
1,4,2,1,1,6,0
1,4,3,0,0,1,0
1,4,4,0,1,5,0
1,4,5,0,0,3,0
1,4,6,0,1,7,0
1,4,7,0,1,10,0
1,4,8,0,1,4,0
1,4,9,0,0,2,0
1,4,10,0,0,12,0
1,4,11,0,1,8,0
1,4,12,0,1,9,0
1,4,13,0,0,11,0
1,4,14,0,0,14,0
1,5,1,0,0,9,2
1,5,2,1,1,14,0
1,5,3,0,0,11,0
1,5,4,0,1,6,0
1,5,5,0,0,2,0
1,5,6,0,1,10,0
1,5,7,0,1,4,0
1,5,8,0,1,12,0
1,5,9,0,0,1,0
1,5,10,0,0,3,0
1,5,11,0,1,5,0
1,5,12,0,1,13,0
1,5,13,0,0,7,0
1,5,14,0,0,8,0
1,6,1,0,0,11,2
1,6,2,1,1,7,0
1,6,3,0,0,8,0
1,6,4,0,1,10,0
1,6,5,0,0,3,0
1,6,6,0,1,9,0
1,6,7,0,1,14,0
1,6,8,0,1,12,0
1,6,9,0,0,1,0
1,6,10,0,0,6,0
1,6,11,0,1,2,0
1,6,12,0,1,5,0
1,6,13,0,0,13,0
1,6,14,0,0,4,0
1,7,1,0,0,3,4
1,7,2,0,1,2,0
1,7,3,0,0,9,0
1,7,4,1,1,14,0
1,7,5,0,0,12,0
1,7,6,0,1,1,0
1,7,7,0,1,8,0
1,7,8,0,1,10,0
1,7,9,0,0,13,0
1,7,10,0,0,5,0
1,7,11,0,1,7,0
1,7,12,0,1,11,0
1,7,13,0,0,4,0
1,7,14,0,0,6,0
1,8,1,0,0,11,12
1,8,2,0,1,8,0
1,8,3,0,0,14,0
