Subj,Trial,OptionID,Choice,MFval,MBval,nPrevChosen
1,1,1,0,4,4,0
1,1,2,0,5,7,0
1,1,3,0,2,18,0
1,1,4,0,4,11,0
1,1,5,1,5,24,0
1,1,6,0,5,11,0
1,1,7,0,4,21,0
1,1,8,0,5,10,0
1,1,9,0,3,10,0
1,1,10,0,4,12,0
1,1,11,0,2,14,0
1,1,12,0,1,6,0
1,1,13,0,4,11,0
1,1,14,0,3,11,0
1,1,15,0,3,12,0
1,1,16,0,5,11,0
1,1,17,0,3,5,0
1,1,18,0,2,5,0
1,1,19,0,2,7,0
1,1,20,0,5,19,0
1,1,21,0,7,9,0
1,1,22,0,3,18,0
1,1,23,0,5,10,0
1,1,24,0,1,11,0
1,1,25,0,3,14,0
1,1,26,0,5,14,0
1,1,27,0,2,17,0
1,1,28,0,1,2,0
1,1,29,0,5,3,0
1,1,30,0,4,7,0
1,1,31,0,3,8,0
1,1,32,0,1,15,0
1,1,33,0,3,2,0
1,2,1,0,4,16,0
1,2,2,0,5,22,0
1,2,3,0,2,7,0
1,2,4,0,4,13,0
1,2,5,0,5,4,1
1,2,6,0,5,4,0
1,2,7,0,4,1,0
1,2,8,0,5,7,0
1,2,9,0,3,9,0
1,2,10,0,4,2,0
1,2,11,0,2,13,0
1,2,12,0,1,9,0
1,2,13,0,4,9,0
1,2,14,0,3,5,0
1,2,15,0,3,13,0
1,2,16,0,5,11,0
1,2,17,0,3,12,0
1,2,18,0,2,12,0
1,2,19,0,2,14,0
1,2,20,0,5,25,0
1,2,21,0,7,7,0
1,2,22,0,3,13,0
1,2,23,0,5,18,0
1,2,24,0,1,11,0
1,2,25,1,3,20,0
1,2,26,0,5,21,0
1,2,27,0,2,3,0
1,2,28,0,1,21,0
1,2,29,0,5,10,0
1,2,30,0,4,14,0
1,2,31,0,3,4,0
1,2,32,0,1,1,0
1,2,33,0,3,13,0
1,3,1,0,4,3,0
1,3,2,0,5,4,0
1,3,3,0,2,9,0
1,3,4,0,4,21,0
1,3,5,0,5,13,1
1,3,6,0,5,9,0
1,3,7,0,4,12,0
1,3,8,0,5,13,0
1,3,9,0,3,8,0
1,3,10,0,4,3,0
1,3,11,0,2,9,0
1,3,12,0,1,13,0
1,3,13,0,4,17,0
1,3,14,0,3,22,0
1,3,15,0,3,21,0
1,3,16,0,5,20,0
1,3,17,0,3,10,0
1,3,18,0,2,7,0
1,3,19,0,2,4,0
1,3,20,0,5,15,0
1,3,21,0,7,14,0
1,3,22,0,3,6,0
1,3,23,0,5,4,0
1,3,24,0,1,5,0
1,3,25,0,3,6,1
1,3,26,0,5,22,0
1,3,27,0,2,16,0
1,3,28,0,1,4,0
1,3,29,1,5,20,0
1,3,30,0,4,18,0
1,3,31,0,3,24,0
1,3,32,0,1,9,0
