Subj,Trial,OptionID,Choice,numExposures,MFval,MBval,nPrevChosen
1,1,1,0,6,10,3,0
1,1,2,0,5,1,1,0
1,1,3,0,4,3,2,0
1,1,4,0,7,8,2,0
1,1,5,0,7,2,1,0
1,1,6,0,6,4,2,0
1,1,7,0,6,9,2,0
1,1,8,0,4,7,2,0
1,1,9,0,5,4,0,0
1,1,10,0,7,2,4,0
1,1,11,1,8,7,5,0
1,1,12,0,5,1,2,0
1,1,13,0,8,6,3,0
1,1,14,0,7,0,2,0
1,1,15,0,4,8,3,0
1,1,16,0,8,3,3,0
1,1,17,0,4,0,1,0
1,1,18,0,8,10,4,0
1,1,19,0,6,9,4,0
1,1,20,0,5,6,4,0
1,2,1,0,6,10,2,0
1,2,2,0,5,1,4,0
1,2,3,0,4,3,6,0
1,2,4,0,7,8,0,0
1,2,5,0,7,2,3,0
1,2,6,0,6,4,3,0
1,2,7,1,6,9,3,0
1,2,8,0,4,7,3,0
1,2,9,0,5,4,2,0
1,2,10,0,7,2,3,0
1,2,11,0,8,7,4,1
1,2,12,0,5,1,3,0
1,2,13,0,8,6,1,0
1,2,14,0,7,0,2,0
1,2,15,0,4,8,2,0
1,2,16,0,8,3,6,0
1,2,17,0,4,0,4,0
1,2,18,0,8,10,3,0
1,2,19,0,6,9,3,0
1,2,20,0,5,6,0,0
1,3,1,0,6,10,1,0
1,3,2,0,5,1,4,0
1,3,3,1,4,3,1,0
1,3,4,0,7,8,4,0
1,3,5,0,7,2,4,0
1,3,6,0,6,4,2,0
1,3,7,0,6,9,2,1
1,3,8,0,4,7,3,0
1,3,9,0,5,4,5,0
1,3,10,0,7,2,1,0
1,3,11,0,8,7,0,1
1,3,12,0,5,1,4,0
1,3,13,0,8,6,3,0
1,3,14,0,7,0,4,0
1,3,15,0,4,8,2,0
1,3,16,0,8,3,1,0
1,3,17,0,4,0,2,0
1,3,18,0,8,10,1,0
1,3,19,0,6,9,1,0
1,3,20,0,5,6,4,0
1,4,1,0,6,10,2,0
1,4,2,0,5,1,4,0
1,4,3,0,4,3,4,1
1,4,4,0,7,8,3,0
1,4,5,0,7,2,4,0
1,4,6,0,6,4,4,0
1,4,7,0,6,9,2,1
1,4,8,0,4,7,5,0
1,4,9,0,5,4,4,0
1,4,10,0,7,2,3,0
1,4,11,0,8,7,3,1
1,4,12,1,5,1,4,0
1,4,13,0,8,6,2,0
1,4,14,0,7,0,3,0
1,4,15,0,4,8,4,0
1,4,16,0,8,3,5,0
